Entity,LOCATION,OBS_VALUE,ny_gdp_pcap_pp_kd,Year
Estonia,EST,6.5,37711.82,2022
Greece,GRC,5.8,31704.426,2022
Germany,DEU,7.3,53969.625,2022
France,FRA,6.7,45904.41,2022
Finland,FIN,7.9,49275.152,2022
Denmark,DNK,7.5,59935.12,2022
Czechia,CZE,6.9,41052.348,2022
Canada,CAN,7.0,49296.38,2022
Belgium,BEL,6.8,53287.152,2022
Austria,AUT,7.2,55867.184,2022
Australia,AUS,7.1,51090.26,2022
Chile,CHL,6.2,25886.121,2022
Brazil,BRA,6.1,15093.465,2022
United States,USA,7.0,64623.125,2022
United Kingdom,GBR,6.8,47587.168,2022
Turkey,TUR,4.9,33149.5,2022
Switzerland,CHE,7.5,72278.21,2022
Sweden,SWE,7.3,55359.344,2022
Spain,ESP,6.5,40223.01,2022
Slovakia,SVK,6.5,33176.184,2022
Portugal,PRT,5.8,35767.723,2022
Poland,POL,6.1,37706.605,2022
Norway,NOR,7.3,67296.16,2022
New Zealand,NZL,7.3,45185.312,2022
Netherlands,NLD,7.5,59249.168,2022
Mexico,MEX,6.0,20254.781,2022
Luxembourg,LUX,7.4,117746.99,2022
South Korea,KOR,5.8,45560.125,2022
Japan,JPN,6.1,41837.91,2022
Italy,ITA,6.5,44292.19,2022
Ireland,IRL,7.0,112445.42,2022
Iceland,ISL,7.6,55567.438,2022
Hungary,HUN,6.0,35356.777,2022
Costa Rica,CRI,6.3,22070.922,2022
Lithuania,LTU,6.4,39955.246,2022
Colombia,COL,5.7,15616.752,2022
South Africa,ZAF,4.9,13478.754,2022
Slovenia,SVN,6.5,41015.227,2022
Russia,RUS,5.5,27450.45,2022
Latvia,LVA,6.2,32992.383,2022
Israel,ISR,7.2,44393.3,2022
